hidden_dim,n_layers,dropout,best_val_loss,final_epoch,wall_time_s,test_mse_norm,test_mae_TAC,test_r2_TAC,test_mae_carbon_eff,test_r2_carbon_eff,test_mae_LCOM,test_r2_LCOM,ckpt
64,2,0.0,0.30730256557464597,158,446.5454714,0.3221428510877821,149370.265625,0.9915025553492565,0.0150457713752985,0.8989981969003087,33.20762252807617,0.24873042987735428,ckpt_h64_l2_d0.0.pt
64,4,0.0,0.3112660880883535,139,274.01099,0.32145452711317274,139744.765625,0.9929938608314879,0.014923855662345886,0.9026685676713463,32.986934661865234,0.245316899274986,ckpt_h64_l4_d0.0.pt
128,3,0.0,0.31208263834317523,193,460.8524011000002,0.3229622565375434,128540.2109375,0.9934331013532578,0.014736155048012733,0.8955198071484988,32.834800720214844,0.24820098294495396,ckpt_h128_l3_d0.0.pt
64,3,0.0,0.3144506279627482,158,309.16920429999993,0.3220231374104818,155560.984375,0.990713921446709,0.015160961076617241,0.8949799483798372,32.9931755065918,0.25397207434671665,ckpt_h64_l3_d0.0.pt
128,4,0.0,0.3158099853992462,189,803.1191802999997,0.3208966742621528,121115.46875,0.9941297987238836,0.014810215681791306,0.8980933512431607,32.87978744506836,0.2503976724084376,ckpt_h128_l4_d0.0.pt
128,2,0.0,0.3159588046868642,371,621.9546093000001,0.35919496324327255,200469.625,0.9828520313763128,0.015063607133924961,0.8913438685886288,34.68562316894531,0.16585134874988205,ckpt_h128_l2_d0.0.pt
64,2,0.1,0.926735500494639,47,129.20939880000003,1.1280045064290365,1471993.25,-0.00235730597501127,0.049872539937496185,-0.00018563173533014954,37.61478042602539,-7.017748384186007e-05,ckpt_h64_l2_d0.1.pt
128,2,0.1,0.9270516490936279,49,68.30245639999998,1.1275232611762154,1489102.875,-0.000213186160977763,0.04955930635333061,-0.001048358860362697,37.64055252075195,-1.7831983599281287e-05,ckpt_h128_l2_d0.1.pt
128,3,0.1,0.9271334520975749,41,73.00093809999998,1.1296440972222221,1477968.0,-0.0017099661972022062,0.050341568887233734,-0.0016593441490233563,37.70112228393555,-0.0035909396650042336,ckpt_h128_l3_d0.1.pt
64,3,0.1,0.9274383409818013,44,52.21474920000003,1.1292007446289063,1468639.125,-0.003100792711421052,0.0493493415415287,-0.002024209867969695,37.82878875732422,-0.0006465532117894135,ckpt_h64_l3_d0.1.pt
128,4,0.1,0.927614130973816,65,232.98438010000018,1.1273001098632813,1490941.25,-0.0001258864280573313,0.04970141127705574,-0.0005684305462012595,37.671287536621094,-5.75225277410496e-07,ckpt_h128_l4_d0.1.pt
64,4,0.1,0.9277944238980611,59,86.56965819999982,1.1273126475016275,1490352.375,-0.0001512555812137606,0.04970851168036461,-0.0005483648703719091,37.70074462890625,-2.9719972665320782e-05,ckpt_h64_l4_d0.1.pt
