fold,method,mean_reward,std_reward,co2_util,extrap_frac
train_H1_test_H2,retrained,3101.4542147376783,195.3990527599516,0.9351187481944888,0.9547619047619048
train_H2_test_H1,retrained,2865.730125983268,244.76876719336505,0.9349398272744398,0.9773809523809526
loso_leave_Q1,retrained,2841.574686809972,77.5399902825278,0.9353779257481664,0.9523809523809524
loso_leave_Q2,retrained,3153.636344841723,113.16475247678216,0.9352369165182488,0.9622023809523808
loso_leave_Q3,retrained,3198.0886372312307,166.49175745433803,0.9349673478332132,0.8961309523809524
loso_leave_Q4,retrained,2328.1430716132577,255.02471926975215,0.9348475733566882,0.7169642857142857
train_H1_test_H2,zero_shot,3223.2705431753743,70.77286015394284,0.9349823789477312,0.9690476190476192
train_H1_test_H2,baseline_full_load,798.2311242419967,868.6110588473466,0.9378048544327816,0.0
train_H2_test_H1,zero_shot,3223.6195080096795,42.66665801489691,0.9349866557340312,0.9758928571428572
train_H2_test_H1,baseline_full_load,844.0516300285886,706.1781425158392,0.9378048544327816,0.0
loso_leave_Q1,zero_shot,3179.801291435352,21.09964616396428,0.9349885048312032,0.9821428571428572
loso_leave_Q1,baseline_full_load,151.42149100996158,312.44241143642046,0.9378048544327816,0.0
loso_leave_Q2,zero_shot,3255.237088429399,48.78827689948735,0.9349836212522792,0.9672619047619048
loso_leave_Q2,baseline_full_load,1335.3733421196337,604.8231942911736,0.9378048544327816,0.0
loso_leave_Q3,zero_shot,3286.548139914919,63.01471237450131,0.93498287815472,0.9535714285714286
loso_leave_Q3,baseline_full_load,1652.329740742705,495.4167834967922,0.9378048544327816,0.0
loso_leave_Q4,zero_shot,3184.5568078973497,21.08326115795961,0.9349850322890614,0.9836309523809524
loso_leave_Q4,baseline_full_load,239.43548792964984,293.7216167598812,0.9378048544327816,0.0
