agent,trained_on,evaluated_on,mean_reward,std_reward,co2_util_mean,extrap_frac_mean
full_load,-,gb,1015.8308577686676,518.3735421069987,0.9378048544327815,0.0
rule,-,gb,2075.068984310051,106.50605702780085,0.9416306884727474,0.0
full_load,-,nl,757.5848502731358,688.9324310647406,0.9378048544327815,0.0
rule,-,nl,2025.3459411920808,127.46386358567078,0.9413691805434586,0.0
SAC,gb,gb,3226.7247193524427,26.155663247068073,0.9349723075235534,0.9845238095238095
SAC,gb,nl,3222.38582768413,50.44279701686627,0.934985504109161,0.9666666666666668
SAC,nl,gb,3146.22374542107,42.49630273227071,0.9351186592534371,0.7910714285714285
SAC,nl,nl,3122.731518003162,112.16049242952202,0.9351897949819854,0.8247023809523808
PPO,gb,gb,1971.72731643434,267.25340859234717,0.9347523396345746,0.9699404761904761
PPO,gb,nl,1837.5665058088773,355.00704983721465,0.9347523396345746,0.9699404761904761
PPO,nl,gb,1976.4192284746136,272.82422022564015,0.9347523396345746,0.9699404761904761
PPO,nl,nl,1839.0054677183282,357.4766710368534,0.9347523396345746,0.9699404761904761
Q,gb,gb,2835.579103042731,119.82589859272883,0.9345494065536297,0.44910714285714287
Q,gb,nl,2814.0015265935463,134.10566910755048,0.9345561994621073,0.4717261904761905
Q,nl,gb,2735.094590635491,149.124357531463,0.9344607997116408,0.23452380952380952
Q,nl,nl,2681.8524802997526,167.47071548221444,0.934479600427785,0.2767857142857143
